SAMPID	CD276_tpm	Histology	Dataset
GTEX-117YX-0126-SM-5EGH5	99.9303417113806	Adrenal Gland	Human Normal (GTEx)
GTEX-117YX-0226-SM-5EGH6	49.4328383146928	Pancreas	Human Normal (GTEx)
GTEX-117YX-0326-SM-5GICL	40.7877830472158	Small Intestine	Human Normal (GTEx)
GTEX-117YX-0526-SM-5EGJH	33.587319653992	Colon	Human Normal (GTEx)
GTEX-117YX-0626-SM-5EGJI	54.2872898671472	Heart	Human Normal (GTEx)
GTEX-117YX-0726-SM-5GIET	50.9359251688847	Adipose Tissue	Human Normal (GTEx)
GTEX-117YX-0826-SM-5H11J	57.5631740858815	Colon	Human Normal (GTEx)
GTEX-117YX-1026-SM-5H11V	52.1563817422755	Stomach	Human Normal (GTEx)
GTEX-117YX-1126-SM-5H128	43.6425471458772	Heart	Human Normal (GTEx)
GTEX-117YX-1226-SM-5H11S	21.7899821185734	Thyroid	Human Normal (GTEx)
GTEX-117YX-1326-SM-5H125	45.9908693792221	Lung	Human Normal (GTEx)
GTEX-117YX-1426-SM-5H12H	86.6674606245515	Breast	Human Normal (GTEx)
GTEX-117YX-1526-SM-5H12T	44.7509795531065	Prostate	Human Normal (GTEx)
GTEX-117YX-1726-SM-5GZZS	85.7959621494666	Blood Vessel	Human Normal (GTEx)
GTEX-117YX-1826-SM-5H12K	30.1909810831642	Esophagus	Human Normal (GTEx)
GTEX-117YX-1926-SM-5GIEC	64.3568631190427	Skin	Human Normal (GTEx)
GTEX-117YX-2026-SM-5GIEF	30.1641755114641	Testis	Human Normal (GTEx)
GTEX-117YX-2126-SM-5GIEL	31.0844314301816	Spleen	Human Normal (GTEx)
GTEX-117YX-2226-SM-5EGJJ	117.564247117889	Adipose Tissue	Human Normal (GTEx)
GTEX-117YX-2326-SM-5H12W	97.2136077128705	Skin	Human Normal (GTEx)
GTEX-117YX-2426-SM-5GZZJ	39.3962292394817	Nerve	Human Normal (GTEx)
GTEX-117YX-2526-SM-5EQ4Q	9.81719974253122	Muscle	Human Normal (GTEx)
GTEX-117YX-2626-SM-5EQ53	74.0347064215927	Blood Vessel	Human Normal (GTEx)
GTEX-1192W-0005-SM-5NQBQ	3.11625637890836	Blood	Human Normal (GTEx)
GTEX-1192W-0008-SM-5QGRE	84.9310885702473	Skin	Human Normal (GTEx)
GTEX-1192W-0126-SM-5EGGS	30.5953595570183	Thyroid	Human Normal (GTEx)
GTEX-1192W-0226-SM-5EGGT	85.3726337114991	Heart	Human Normal (GTEx)
GTEX-1192W-2626-SM-5Q5AF	81.2774432995545	Skin	Human Normal (GTEx)
GTEX-1192W-3026-SM-5GZZV	27.1247088851582	Pituitary	Human Normal (GTEx)
GTEX-1192X-0005-SM-5NQC3	1.15696369871394	Blood	Human Normal (GTEx)
GTEX-1192X-0008-SM-5Q5B7	81.9409006125815	Skin	Human Normal (GTEx)
GTEX-1192X-0011-R10a-SM-DO941	11.3583475886673	Brain	Human Normal (GTEx)
GTEX-1192X-0011-R5a-SM-DNZZA	13.4149533049354	Brain	Human Normal (GTEx)
GTEX-1192X-0011-R6a-SM-DNZZB	14.389917375968	Brain	Human Normal (GTEx)
GTEX-1192X-0011-R7b-SM-DNZZC	11.0441777839801	Brain	Human Normal (GTEx)
GTEX-1192X-0011-R8b-SM-DO11U	22.9153135489504	Brain	Human Normal (GTEx)
GTEX-1192X-0011-R9b-SM-DO934	14.9744243981924	Brain	Human Normal (GTEx)
GTEX-1192X-0226-SM-5H12D	129.912537222314	Skin	Human Normal (GTEx)
GTEX-1192X-0326-SM-5H11U	38.2642158978862	Nerve	Human Normal (GTEx)
GTEX-1192X-0426-SM-5GIEE	9.51805206717637	Muscle	Human Normal (GTEx)
GTEX-1192X-0726-SM-5987R	45.6369528655279	Heart	Human Normal (GTEx)
GTEX-1192X-1126-SM-5EGGU	25.357401556294	Thyroid	Human Normal (GTEx)
GTEX-1192X-1526-SM-5H11I	55.6415532996668	Adipose Tissue	Human Normal (GTEx)
GTEX-1192X-1826-SM-5GIE2	42.6565884657042	Esophagus	Human Normal (GTEx)
GTEX-1192X-2326-SM-5987X	53.0616387076225	Breast	Human Normal (GTEx)
GTEX-1192X-2526-SM-59868	42.0610271308646	Small Intestine	Human Normal (GTEx)
GTEX-1192X-2726-SM-5N9DN	31.453490624454	Skin	Human Normal (GTEx)
GTEX-1192X-2926-SM-5N9BA	25.3449514648515	Salivary Gland	Human Normal (GTEx)
GTEX-1192X-3026-SM-5N9BM	19.3821744074114	Pituitary	Human Normal (GTEx)
GTEX-1192X-3126-SM-5N9BY	20.4133164159558	Brain	Human Normal (GTEx)
GTEX-1192X-3226-SM-5987D	10.6218962329033	Brain	Human Normal (GTEx)
GTEX-11DXW-0006-SM-5NQ7Y	0.688445577869339	Blood	Human Normal (GTEx)
GTEX-11DXW-0008-SM-5Q59V	103.33362519598	Skin	Human Normal (GTEx)
GTEX-11DXW-0011-R1a-SM-DNZZD	11.5822605458995	Brain	Human Normal (GTEx)
GTEX-11DXW-0011-R3b-SM-DNZZE	17.9237511652953	Brain	Human Normal (GTEx)
GTEX-11DXW-0011-R5b-SM-DO11D	16.0572442445743	Brain	Human Normal (GTEx)
GTEX-11DXW-0011-R6a-SM-DO11N	19.3415530563798	Brain	Human Normal (GTEx)
GTEX-11DXW-0011-R7b-SM-DO119	15.5020299832235	Brain	Human Normal (GTEx)
GTEX-11DXW-0226-SM-5H122	111.510558331022	Skin	Human Normal (GTEx)
GTEX-11DXW-0326-SM-5H11W	106.33891617726	Adipose Tissue	Human Normal (GTEx)
GTEX-11DXW-0426-SM-5H12E	50.8616440225813	Nerve	Human Normal (GTEx)
GTEX-11DXW-0526-SM-5H127	85.074350754506	Blood Vessel	Human Normal (GTEx)
GTEX-11DXW-0626-SM-5N9ER	50.9751992695966	Breast	Human Normal (GTEx)
GTEX-11DXW-0726-SM-5H12J	18.6085613386015	Muscle	Human Normal (GTEx)
GTEX-11DXW-0826-SM-5H118	53.5294324243377	Skin	Human Normal (GTEx)
GTEX-11DXW-1026-SM-5H11K	12.4373527885214	Brain	Human Normal (GTEx)
GTEX-11DXW-1126-SM-5H12Q	23.1918762616394	Brain	Human Normal (GTEx)
GTEX-11DXW-1226-SM-5H133	23.0838256820301	Pituitary	Human Normal (GTEx)
GTEX-11DXX-0005-SM-5NQ8B	0.228344917195449	Blood	Human Normal (GTEx)
GTEX-11DXX-0008-SM-5Q5B8	89.8416604734267	Skin	Human Normal (GTEx)
GTEX-11DXX-0126-SM-5EGH7	69.006529713447	Adrenal Gland	Human Normal (GTEx)
GTEX-11DXX-0226-SM-5P9HL	37.8197102360362	Thyroid	Human Normal (GTEx)
GTEX-11DXX-0326-SM-5PNWC	91.244639428699	Heart	Human Normal (GTEx)
GTEX-11DXX-0426-SM-5EQ5F	63.4449584038725	Blood Vessel	Human Normal (GTEx)
GTEX-11DXX-0526-SM-5PNVR	75.8101849312153	Heart	Human Normal (GTEx)
GTEX-11DXX-0626-SM-5Q5AG	26.2856899275958	Lung	Human Normal (GTEx)
GTEX-11DXX-0726-SM-5H12X	22.8973023214727	Spleen	Human Normal (GTEx)
GTEX-11DXX-0826-SM-5GZZP	50.687060438513	Blood Vessel	Human Normal (GTEx)
GTEX-11DXX-0926-SM-5H112	28.3350191701459	Pancreas	Human Normal (GTEx)
GTEX-11DXX-1026-SM-5H11E	30.1315531020937	Esophagus	Human Normal (GTEx)
GTEX-11DXX-1126-SM-5GZZK	26.3007462882144	Esophagus	Human Normal (GTEx)
GTEX-11DXX-1226-SM-5GICD	55.4993659553564	Esophagus	Human Normal (GTEx)
GTEX-11DXX-1326-SM-5GIDZ	28.6968718846299	Stomach	Human Normal (GTEx)
GTEX-11DXX-1426-SM-5GIDU	44.4153268927346	Ovary	Human Normal (GTEx)
GTEX-11DXX-1526-SM-5H115	38.2687160345935	Uterus	Human Normal (GTEx)
GTEX-11DXX-1626-SM-5H11H	16.3592674958915	Small Intestine	Human Normal (GTEx)
GTEX-11DXX-1726-SM-5H11T	74.2165353951708	Vagina	Human Normal (GTEx)
GTEX-11DXX-1826-SM-5H126	35.7351621218098	Colon	Human Normal (GTEx)
GTEX-11DXX-1926-SM-5EGJK	53.8244214221691	Colon	Human Normal (GTEx)
GTEX-11DXX-2026-SM-5EGJL	49.9064825978248	Adipose Tissue	Human Normal (GTEx)
GTEX-11DXX-2126-SM-5PNYR	30.8834336353328	Skin	Human Normal (GTEx)
GTEX-11DXX-2326-SM-9YFKS	60.7251212556871	Adipose Tissue	Human Normal (GTEx)
GTEX-11DXX-2426-SM-5GZZW	85.4705190359214	Skin	Human Normal (GTEx)
GTEX-11DXX-2526-SM-5H119	31.1105795361983	Nerve	Human Normal (GTEx)
GTEX-11DXX-2626-SM-5Q5A3	95.320430332027	Blood Vessel	Human Normal (GTEx)
GTEX-11DXX-2726-SM-5PNXO	15.6632507582556	Muscle	Human Normal (GTEx)
GTEX-11DXY-0006-SM-5NQ8N	0.870822696941251	Blood	Human Normal (GTEx)
GTEX-11DXY-0008-SM-5QGR4	107.602515915124	Skin	Human Normal (GTEx)
GTEX-11DXY-0011-R10b-SM-DO12C	17.6572323936275	Brain	Human Normal (GTEx)
GTEX-11DXY-0011-R11a-SM-DNZZN	9.94907690689963	Brain	Human Normal (GTEx)
GTEX-11DXY-0011-R5b-SM-DNZZL	12.4603926320789	Brain	Human Normal (GTEx)
GTEX-11DXY-0011-R6a-SM-DNZZF	12.6430962868477	Brain	Human Normal (GTEx)
GTEX-11DXY-0011-R7a-SM-DO11L	10.649761138955	Brain	Human Normal (GTEx)
GTEX-11DXY-0011-R8a-SM-DO11M	17.9378378640564	Brain	Human Normal (GTEx)
GTEX-11DXY-0126-SM-5H11Q	41.874497244404	Skin	Human Normal (GTEx)
GTEX-11DXY-0226-SM-5H123	32.0631062104679	Testis	Human Normal (GTEx)
GTEX-11DXY-0326-SM-5H12F	35.1523238647897	Adipose Tissue	Human Normal (GTEx)
GTEX-11DXY-0426-SM-5H12R	40.5277265733931	Thyroid	Human Normal (GTEx)
GTEX-11DXY-0526-SM-5EGGQ	91.5711517167844	Liver	Human Normal (GTEx)
GTEX-11DXY-0826-SM-5EGGR	36.0357765621799	Heart	Human Normal (GTEx)
GTEX-11DXY-1026-SM-5987V	56.8267026531655	Heart	Human Normal (GTEx)
GTEX-11DXY-1126-SM-5987W	45.8983351012716	Blood Vessel	Human Normal (GTEx)
GTEX-11DXY-1326-SM-5987Z	53.3373866363682	Esophagus	Human Normal (GTEx)
GTEX-11DXY-1426-SM-5N9CN	17.2685827416155	Esophagus	Human Normal (GTEx)
GTEX-11DXY-1526-SM-5H129	51.3887575637786	Esophagus	Human Normal (GTEx)
GTEX-11DXY-1626-SM-5H12L	65.6705500512471	Adrenal Gland	Human Normal (GTEx)
GTEX-11DXY-2026-SM-5N9CZ	48.9055028521687	Colon	Human Normal (GTEx)
GTEX-11DXY-2326-SM-5GICW	70.7072861623594	Breast	Human Normal (GTEx)
GTEX-11DXY-2626-SM-5GIE7	48.6012545936739	Skin	Human Normal (GTEx)
GTEX-11DXY-2726-SM-5GID2	14.369027684271	Muscle	Human Normal (GTEx)
GTEX-11DXY-3026-SM-5N9CB	23.8591944717766	Pituitary	Human Normal (GTEx)
GTEX-11DXY-3126-SM-5N9BT	14.7439651941232	Brain	Human Normal (GTEx)
GTEX-11DXY-3226-SM-5GIDE	20.8465267246742	Brain	Human Normal (GTEx)
GTEX-11DXZ-0006-SM-5LZZH	0.16307223835537	Blood	Human Normal (GTEx)
GTEX-11DXZ-0126-SM-5EGGY	44.6121093881678	Liver	Human Normal (GTEx)
GTEX-11DXZ-0226-SM-5EGGZ	63.9930513412996	Adrenal Gland	Human Normal (GTEx)
GTEX-11DXZ-0326-SM-5EGH1	36.7441286944515	Heart	Human Normal (GTEx)
